
WLA DX: 6809 mnemonics listed in alphabetical order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
s = 5bit signed ([-16, +15])



"ABX" $3A
"ADDA A,Y" $ABA6
"ADDA B,S" $ABE5
"ADDA B,U" $ABC5
"ADDA B,X" $AB85
"ADDA B,Y" $ABA5
"ADDA D,S" $ABEB
"ADDA D,U" $ABCB
"ADDA D,X" $AB8B
"ADDA D,Y" $ABAB
"ADDA s,S" $AB60
"ADDA s,U" $AB40
"ADDA s,X" $AB00
"ADDA s,Y" $AB20
"ADDA x" $9B
"ADDA x,PCR" $AB8C
"ADDA x,S" $ABE8
"ADDA x,U" $ABC8
"ADDA x,X" $AB88
"ADDA x,Y" $ABA8
"ADDA,--S" $ABE3
"ADDA,--U" $ABC3
"ADDA,--X" $AB83
"ADDA,--Y" $ABA3
"ADDA,-S" $ABE2
"ADDA,-U" $ABC2
"ADDA,-X" $AB82
"ADDA,-Y" $ABA2
"ADDA,S" $ABE4
"ADDA,S+" $ABE0
"ADDA,S++" $ABE1
"ADDA,U" $ABC4
"ADDA,U+" $ABC0
"ADDA,U++" $ABC1
"ADDA,X" $AB84
"ADDA,X+" $AB80
"ADDA,X++" $AB81
"ADDA,Y" $ABA4
"ADDA,Y+" $ABA0
"ADDA,Y++" $ABA1
"ADDB #x" $CB
"ADDB (,--S)" $EBF3
"ADDB (,--U)" $EBD3
"ADDB (,--X)" $EB93
"ADDB (,--Y)" $EBB3
"ADDB (,S)" $EBF4
"ADDB (,S++)" $EBF1
"ADDB (,U)" $EBD4
"ADDB (,U++)" $EBD1
"ADDB (,X)" $EB94
"ADDB (,X++)" $EB91
"ADDB (,Y)" $EBB4
"ADDB (,Y++)" $EBB1
"ADDB (?)" $EB9F
"ADDB (?,PCR)" $EB9D
"ADDB (?,S)" $EBF9
"ADDB (?,U)" $EBD9
"ADDB (?,X)" $EB99
"ADDB (?,Y)" $EBB9
"ADDB (A,S)" $EBF6
"ADDB (A,U)" $EBD6
"ADDB (A,X)" $EB96
"ADDB (A,Y)" $EBB6
"ADDB (B,S)" $EBF5
"ADDB (B,U)" $EBD5
"ADDB (B,X)" $EB95
"ADDB (B,Y)" $EBB5
"ADDB (D,S)" $EBFB
"ADDB (D,U)" $EBDB
"ADDB (D,X)" $EB9B
"ADDB (D,Y)" $EBBB
"ADDB (x,PCR)" $EB9C
"ADDB (x,S)" $EBF8
"ADDB (x,U)" $EBD8
"ADDB (x,X)" $EB98
"ADDB (x,Y)" $EBB8
"ADDB ?" $FB
"ADDB ?,PCR" $EB8D
"ADDB ?,S" $EBE9
"ADDB ?,U" $EBC9
"ADDB ?,X" $EB89
"ADDB ?,Y" $EBA9
"ADDB A,S" $EBE6
"ADDB A,U" $EBC6
"ADDB A,X" $EB86
"ADDB A,Y" $EBA6
"ADDB B,S" $EBE5
"ADDB B,U" $EBC5
"ADDB B,X" $EB85
"ADDB B,Y" $EBA5
"ADDB D,S" $EBEB
"ADDB D,U" $EBCB
"ADDB D,X" $EB8B
"ADDB D,Y" $EBAB
"ADDB s,S" $EB60
"ADDB s,U" $EB40
"ADDB s,X" $EB00
"ADDB s,Y" $EB20
"ADDB x" $DB
"ADDB x,PCR" $EB8C
"ADDB x,S" $EBE8
"ADDB x,U" $EBC8
"ADDB x,X" $EB88
"ADDB x,Y" $EBA8
"ADDB,--S" $EBE3
"ADDB,--U" $EBC3
"ADDB,--X" $EB83
"ADDB,--Y" $EBA3
"ADDB,-S" $EBE2
"ADDB,-U" $EBC2
"ADDB,-X" $EB82
"ADDB,-Y" $EBA2
"ADDB,S" $EBE4
"ADDB,S+" $EBE0
"ADDB,S++" $EBE1
"ADDB,U" $EBC4
"ADDB,U+" $EBC0
"ADDB,U++" $EBC1
"ADDB,X" $EB84
"ADDB,X+" $EB80
"ADDB,X++" $EB81
"ADDB,Y" $EBA4
"ADDB,Y+" $EBA0
"ADDB,Y++" $EBA1
"ADDD #x" $C3
"ADDD (,--S)" $E3F3
"ADDD (,--U)" $E3D3
"ADDD (,--X)" $E393
"ADDD (,--Y)" $E3B3
"ADDD (,S)" $E3F4
"ADDD (,S++)" $E3F1
"ADDD (,U)" $E3D4
"ADDD (,U++)" $E3D1
"ADDD (,X)" $E394
"ADDD (,X++)" $E391
"ADDD (,Y)" $E3B4
"ADDD (,Y++)" $E3B1
"ADDD (?)" $E39F
"ADDD (?,PCR)" $E39D
"ADDD (?,S)" $E3F9
"ADDD (?,U)" $E3D9
"ADDD (?,X)" $E399
"ADDD (?,Y)" $E3B9
"ADDD (A,S)" $E3F6
"ADDD (A,U)" $E3D6
"ADDD (A,X)" $E396
"ADDD (A,Y)" $E3B6
"ADDD (B,S)" $E3F5
"ADDD (B,U)" $E3D5
"ADDD (B,X)" $E395
"ADDD (B,Y)" $E3B5
"ADDD (D,S)" $E3FB
"ADDD (D,U)" $E3DB
"ADDD (D,X)" $E39B
"ADDD (D,Y)" $E3BB
"ADDD (x,PCR)" $E39C
"ADDD (x,S)" $E3F8
"ADDD (x,U)" $E3D8
"ADDD (x,X)" $E398
"ADDD (x,Y)" $E3B8
"ADDD ?" $F3
"ADDD ?,PCR" $E38D
"ADDD ?,S" $E3E9
"ADDD ?,U" $E3C9
"ADDD ?,X" $E389
"ADDD ?,Y" $E3A9
"ADDD A,S" $E3E6
"ADDD A,U" $E3C6
"ADDD A,X" $E386
"ADDD A,Y" $E3A6
"ADDD B,S" $E3E5
"ADDD B,U" $E3C5
"ADDD B,X" $E385
"ADDD B,Y" $E3A5
"ADDD D,S" $E3EB
"ADDD D,U" $E3CB
"ADDD D,X" $E38B
"ADDD D,Y" $E3AB
"ADDD s,S" $E360
"ADDD s,U" $E340
"ADDD s,X" $E300
"ADDD s,Y" $E320
"ADDD x" $D3
"ADDD x,PCR" $E38C
"ADDD x,S" $E3E8
"ADDD x,U" $E3C8
"ADDD x,X" $E388
"ADDD x,Y" $E3A8
"ADDD,--S" $E3E3
"ADDD,--U" $E3C3
"ADDD,--X" $E383
"ADDD,--Y" $E3A3
"ADDD,-S" $E3E2
"ADDD,-U" $E3C2
"ADDD,-X" $E382
"ADDD,-Y" $E3A2
"ADDD,S" $E3E4
"ADDD,S+" $E3E0
"ADDD,S++" $E3E1
"ADDD,U" $E3C4
"ADDD,U+" $E3C0
"ADDD,U++" $E3C1
"ADDD,X" $E384
"ADDD,X+" $E380
"ADDD,X++" $E381
"ADDD,Y" $E3A4
"ADDD,Y+" $E3A0
"ADDD,Y++" $E3A1
"ANDA #x" $84
"ANDA (,--S)" $A4F3
"ANDA (,--U)" $A4D3
"ANDA (,--X)" $A493
"ANDA (,--Y)" $A4B3
"ANDA (,S)" $A4F4
"ANDA (,S++)" $A4F1
"ANDA (,U)" $A4D4
"ANDA (,U++)" $A4D1
"ANDA (,X)" $A494
"ANDA (,X++)" $A491
"ANDA (,Y)" $A4B4
"ANDA (,Y++)" $A4B1
"ANDA (?)" $A49F
"ANDA (?,PCR)" $A49D
"ANDA (?,S)" $A4F9
"ANDA (?,U)" $A4D9
"ANDA (?,X)" $A499
"ANDA (?,Y)" $A4B9
"ANDA (A,S)" $A4F6
"ANDA (A,U)" $A4D6
"ANDA (A,X)" $A496
"ANDA (A,Y)" $A4B6
"ANDA (B,S)" $A4F5
"ANDA (B,U)" $A4D5
"ANDA (B,X)" $A495
"ANDA (B,Y)" $A4B5
"ANDA (D,S)" $A4FB
"ANDA (D,U)" $A4DB
"ANDA (D,X)" $A49B
"ANDA (D,Y)" $A4BB
"ANDA (x,PCR)" $A49C
"ANDA (x,S)" $A4F8
"ANDA (x,U)" $A4D8
"ANDA (x,X)" $A498
"ANDA (x,Y)" $A4B8
"ANDA ?" $B4
"ANDA ?,PCR" $A48D
"ANDA ?,S" $A4E9
"ANDA ?,U" $A4C9
"ANDA ?,X" $A489
"ANDA ?,Y" $A4A9
"ANDA A,S" $A4E6
"ANDA A,U" $A4C6
"ANDA A,X" $A486
"ANDA A,Y" $A4A6
"ANDA B,S" $A4E5
"ANDA B,U" $A4C5
"ANDA B,X" $A485
"ANDA B,Y" $A4A5
"ANDA D,S" $A4EB
"ANDA D,U" $A4CB
"ANDA D,X" $A48B
"ANDA D,Y" $A4AB
"ANDA s,S" $A460
"ANDA s,U" $A440
"ANDA s,X" $A400
"ANDA s,Y" $A420
"ANDA x" $94
"ANDA x,PCR" $A48C
"ANDA x,S" $A4E8
"ANDA x,U" $A4C8
"ANDA x,X" $A488
"ANDA x,Y" $A4A8
"ANDA,--S" $A4E3
"ANDA,--U" $A4C3
"ANDA,--X" $A483
"ANDA,--Y" $A4A3
"ANDA,-S" $A4E2
"ANDA,-U" $A4C2
"ANDA,-X" $A482
"ANDA,-Y" $A4A2
"ANDA,S" $A4E4
"ANDA,S+" $A4E0
"ANDA,S++" $A4E1
"ANDA,U" $A4C4
"ANDA,U+" $A4C0
"ANDA,U++" $A4C1
"ANDA,X" $A484
"ANDA,X+" $A480
"ANDA,X++" $A481
"ANDA,Y" $A4A4
"ANDA,Y+" $A4A0
"ANDA,Y++" $A4A1
"ANDB #x" $C4
"ANDB (,--S)" $E4F3
"ANDB (,--U)" $E4D3
"ANDB (,--X)" $E493
"ANDB (,--Y)" $E4B3
"ANDB (,S)" $E4F4
"ANDB (,S++)" $E4F1
"ANDB (,U)" $E4D4
"ANDB (,U++)" $E4D1
"ANDB (,X)" $E494
"ANDB (,X++)" $E491
"ANDB (,Y)" $E4B4
"ANDB (,Y++)" $E4B1
"ANDB (?)" $E49F
"ANDB (?,PCR)" $E49D
"ANDB (?,S)" $E4F9
"ANDB (?,U)" $E4D9
"ANDB (?,X)" $E499
"ANDB (?,Y)" $E4B9
"ANDB (A,S)" $E4F6
"ANDB (A,U)" $E4D6
"ANDB (A,X)" $E496
"ANDB (A,Y)" $E4B6
"ANDB (B,S)" $E4F5
"ANDB (B,U)" $E4D5
"ANDB (B,X)" $E495
"ANDB (B,Y)" $E4B5
"ANDB (D,S)" $E4FB
"ANDB (D,U)" $E4DB
"ANDB (D,X)" $E49B
"ANDB (D,Y)" $E4BB
"ANDB (x,PCR)" $E49C
"ANDB (x,S)" $E4F8
"ANDB (x,U)" $E4D8
"ANDB (x,X)" $E498
"ANDB (x,Y)" $E4B8
"ANDB ?" $F4
"ANDB ?,PCR" $E48D
"ANDB ?,S" $E4E9
"ANDB ?,U" $E4C9
"ANDB ?,X" $E489
"ANDB ?,Y" $E4A9
"ANDB A,S" $E4E6
"ANDB A,U" $E4C6
"ANDB A,X" $E486
"ANDB A,Y" $E4A6
"ANDB B,S" $E4E5
"ANDB B,U" $E4C5
"ANDB B,X" $E485
"ANDB B,Y" $E4A5
"ANDB D,S" $E4EB
"ANDB D,U" $E4CB
"ANDB D,X" $E48B
"ANDB D,Y" $E4AB
"ANDB s,S" $E460
"ANDB s,U" $E440
"ANDB s,X" $E400
"ANDB s,Y" $E420
"ANDB x" $D4
"ANDB x,PCR" $E48C
"ANDB x,S" $E4E8
"ANDB x,U" $E4C8
"ANDB x,X" $E488
"ANDB x,Y" $E4A8
"ANDB,--S" $E4E3
"ANDB,--U" $E4C3
"ANDB,--X" $E483
"ANDB,--Y" $E4A3
"ANDB,-S" $E4E2
"ANDB,-U" $E4C2
"ANDB,-X" $E482
"ANDB,-Y" $E4A2
"ANDB,S" $E4E4
"ANDB,S+" $E4E0
"ANDB,S++" $E4E1
"ANDB,U" $E4C4
"ANDB,U+" $E4C0
"ANDB,U++" $E4C1
"ANDB,X" $E484
"ANDB,X+" $E480
"ANDB,X++" $E481
"ANDB,Y" $E4A4
"ANDB,Y+" $E4A0
"ANDB,Y++" $E4A1
"ANDCC #x" $1C
"ASL (,--S)" $68F3
"ASL (,--U)" $68D3
"ASL (,--X)" $6893
"ASL (,--Y)" $68B3
"ASL (,S)" $68F4
"ASL (,S++)" $68F1
"ASL (,U)" $68D4
"ASL (,U++)" $68D1
"ASL (,X)" $6894
"ASL (,X++)" $6891
"ASL (,Y)" $68B4
"ASL (,Y++)" $68B1
"ASL (?)" $689F
"ASL (?,PCR)" $689D
"ASL (?,S)" $68F9
"ASL (?,U)" $68D9
"ASL (?,X)" $6899
"ASL (?,Y)" $68B9
"ASL (A,S)" $68F6
"ASL (A,U)" $68D6
"ASL (A,X)" $6896
"ASL (A,Y)" $68B6
"ASL (B,S)" $68F5
"ASL (B,U)" $68D5
"ASL (B,X)" $6895
"ASL (B,Y)" $68B5
"ASL (D,S)" $68FB
"ASL (D,U)" $68DB
"ASL (D,X)" $689B
"ASL (D,Y)" $68BB
"ASL (x,PCR)" $689C
"ASL (x,S)" $68F8
"ASL (x,U)" $68D8
"ASL (x,X)" $6898
"ASL (x,Y)" $68B8
"ASL ?" $78
"ASL ?,PCR" $688D
"ASL ?,S" $68E9
"ASL ?,U" $68C9
"ASL ?,X" $6889
"ASL ?,Y" $68A9
"ASL A,S" $68E6
"ASL A,U" $68C6
"ASL A,X" $6886
"ASL A,Y" $68A6
"ASL B,S" $68E5
"ASL B,U" $68C5
"ASL B,X" $6885
"ASL B,Y" $68A5
"ASL D,S" $68EB
"ASL D,U" $68CB
"ASL D,X" $688B
"ASL D,Y" $68AB
"ASL s,S" $6860
"ASL s,U" $6840
"ASL s,X" $6800
"ASL s,Y" $6820
"ASL x" $08
"ASL x,PCR" $688C
"ASL x,S" $68E8
"ASL x,U" $68C8
"ASL x,X" $6888
"ASL x,Y" $68A8
"ASL,--S" $68E3
"ASL,--U" $68C3
"ASL,--X" $6883
"ASL,--Y" $68A3
"ASL,-S" $68E2
"ASL,-U" $68C2
"ASL,-X" $6882
"ASL,-Y" $68A2
"ASL,S" $68E4
"ASL,S+" $68E0
"ASL,S++" $68E1
"ASL,U" $68C4
"ASL,U+" $68C0
"ASL,U++" $68C1
"ASL,X" $6884
"ASL,X+" $6880
"ASL,X++" $6881
"ASL,Y" $68A4
"ASL,Y+" $68A0
"ASL,Y++" $68A1
"ASLA" $48
"ASLB" $58
"ASR (,--S)" $67F3
"ASR (,--U)" $67D3
"ASR (,--X)" $6793
"ASR (,--Y)" $67B3
"ASR (,S)" $67F4
"ASR (,S++)" $67F1
"ASR (,U)" $67D4
"ASR (,U++)" $67D1
"ASR (,X)" $6794
"ASR (,X++)" $6791
"ASR (,Y)" $67B4
"ASR (,Y++)" $67B1
"ASR (?)" $679F
"ASR (?,PCR)" $679D
"ASR (?,S)" $67F9
"ASR (?,U)" $67D9
"ASR (?,X)" $6799
"ASR (?,Y)" $67B9
"ASR (A,S)" $67F6
"ASR (A,U)" $67D6
"ASR (A,X)" $6796
"ASR (A,Y)" $67B6
"ASR (B,S)" $67F5
"ASR (B,U)" $67D5
"ASR (B,X)" $6795
"ASR (B,Y)" $67B5
"ASR (D,S)" $67FB
"ASR (D,U)" $67DB
"ASR (D,X)" $679B
"ASR (D,Y)" $67BB
"ASR (x,PCR)" $679C
"ASR (x,S)" $67F8
"ASR (x,U)" $67D8
"ASR (x,X)" $6798
"ASR (x,Y)" $67B8
"ASR ?" $77
"ASR ?,PCR" $678D
"ASR ?,S" $67E9
"ASR ?,U" $67C9
"ASR ?,X" $6789
"ASR ?,Y" $67A9
"ASR A,S" $67E6
"ASR A,U" $67C6
"ASR A,X" $6786
"ASR A,Y" $67A6
"ASR B,S" $67E5
"ASR B,U" $67C5
"ASR B,X" $6785
"ASR B,Y" $67A5
"ASR D,S" $67EB
"ASR D,U" $67CB
"ASR D,X" $678B
"ASR D,Y" $67AB
"ASR s,S" $6760
"ASR s,U" $6740
"ASR s,X" $6700
"ASR s,Y" $6720
"ASR x" $07
"ASR x,PCR" $678C
"ASR x,S" $67E8
"ASR x,U" $67C8
"ASR x,X" $6788
"ASR x,Y" $67A8
"ASR,--S" $67E3
"ASR,--U" $67C3
"ASR,--X" $6783
"ASR,--Y" $67A3
"ASR,-S" $67E2
"ASR,-U" $67C2
"ASR,-X" $6782
"ASR,-Y" $67A2
"ASR,S" $67E4
"ASR,S+" $67E0
"ASR,S++" $67E1
"ASR,U" $67C4
"ASR,U+" $67C0
"ASR,U++" $67C1
"ASR,X" $6784
"ASR,X+" $6780
"ASR,X++" $6781
"ASR,Y" $67A4
"ASR,Y+" $67A0
"ASR,Y++" $67A1
"ASRA" $47
"ASRB" $57
"BCC x" $24
"BCS x" $25
"BEQ x" $27
"BGE x" $2C
"BGT x" $2E
"BHI x" $22
"BHS x" $24
"BITA #x" $85
"BITA (,--S)" $A5F3
"BITA (,--U)" $A5D3
"BITA (,--X)" $A593
"BITA (,--Y)" $A5B3
"BITA (,S)" $A5F4
"BITA (,S++)" $A5F1
"BITA (,U)" $A5D4
"BITA (,U++)" $A5D1
"BITA (,X)" $A594
"BITA (,X++)" $A591
"BITA (,Y)" $A5B4
"BITA (,Y++)" $A5B1
"BITA (?)" $A59F
"BITA (?,PCR)" $A59D
"BITA (?,S)" $A5F9
"BITA (?,U)" $A5D9
"BITA (?,X)" $A599
"BITA (?,Y)" $A5B9
"BITA (A,S)" $A5F6
"BITA (A,U)" $A5D6
"BITA (A,X)" $A596
"BITA (A,Y)" $A5B6
"BITA (B,S)" $A5F5
"BITA (B,U)" $A5D5
"BITA (B,X)" $A595
"BITA (B,Y)" $A5B5
"BITA (D,S)" $A5FB
"BITA (D,U)" $A5DB
"BITA (D,X)" $A59B
"BITA (D,Y)" $A5BB
"BITA (x,PCR)" $A59C
"BITA (x,S)" $A5F8
"BITA (x,U)" $A5D8
"BITA (x,X)" $A598
"BITA (x,Y)" $A5B8
"BITA ?" $B5
"BITA ?,PCR" $A58D
"BITA ?,S" $A5E9
"BITA ?,U" $A5C9
"BITA ?,X" $A589
"BITA ?,Y" $A5A9
"BITA A,S" $A5E6
"BITA A,U" $A5C6
"BITA A,X" $A586
"BITA A,Y" $A5A6
"BITA B,S" $A5E5
"BITA B,U" $A5C5
"BITA B,X" $A585
"BITA B,Y" $A5A5
"BITA D,S" $A5EB
"BITA D,U" $A5CB
"BITA D,X" $A58B
"BITA D,Y" $A5AB
"BITA s,S" $A560
"BITA s,U" $A540
"BITA s,X" $A500
"BITA s,Y" $A520
"BITA x" $95
"BITA x,PCR" $A58C
"BITA x,S" $A5E8
"BITA x,U" $A5C8
"BITA x,X" $A588
"BITA x,Y" $A5A8
"BITA,--S" $A5E3
"BITA,--U" $A5C3
"BITA,--X" $A583
"BITA,--Y" $A5A3
"BITA,-S" $A5E2
"BITA,-U" $A5C2
"BITA,-X" $A582
"BITA,-Y" $A5A2
"BITA,S" $A5E4
"BITA,S+" $A5E0
"BITA,S++" $A5E1
"BITA,U" $A5C4
"BITA,U+" $A5C0
"BITA,U++" $A5C1
"BITA,X" $A584
"BITA,X+" $A580
"BITA,X++" $A581
"BITA,Y" $A5A4
"BITA,Y+" $A5A0
"BITA,Y++" $A5A1
"BITB #x" $C5
"BITB (,--S)" $E5F3
"BITB (,--U)" $E5D3
"BITB (,--X)" $E593
"BITB (,--Y)" $E5B3
"BITB (,S)" $E5F4
"BITB (,S++)" $E5F1
"BITB (,U)" $E5D4
"BITB (,U++)" $E5D1
"BITB (,X)" $E594
"BITB (,X++)" $E591
"BITB (,Y)" $E5B4
"BITB (,Y++)" $E5B1
"BITB (?)" $E59F
"BITB (?,PCR)" $E59D
"BITB (?,S)" $E5F9
"BITB (?,U)" $E5D9
"BITB (?,X)" $E599
"BITB (?,Y)" $E5B9
"BITB (A,S)" $E5F6
"BITB (A,U)" $E5D6
"BITB (A,X)" $E596
"BITB (A,Y)" $E5B6
"BITB (B,S)" $E5F5
"BITB (B,U)" $E5D5
"BITB (B,X)" $E595
"BITB (B,Y)" $E5B5
"BITB (D,S)" $E5FB
"BITB (D,U)" $E5DB
"BITB (D,X)" $E59B
"BITB (D,Y)" $E5BB
"BITB (x,PCR)" $E59C
"BITB (x,S)" $E5F8
"BITB (x,U)" $E5D8
"BITB (x,X)" $E598
"BITB (x,Y)" $E5B8
"BITB ?" $F5
"BITB ?,PCR" $E58D
"BITB ?,S" $E5E9
"BITB ?,U" $E5C9
"BITB ?,X" $E589
"BITB ?,Y" $E5A9
"BITB A,S" $E5E6
"BITB A,U" $E5C6
"BITB A,X" $E586
"BITB A,Y" $E5A6
"BITB B,S" $E5E5
"BITB B,U" $E5C5
"BITB B,X" $E585
"BITB B,Y" $E5A5
"BITB D,S" $E5EB
"BITB D,U" $E5CB
"BITB D,X" $E58B
"BITB D,Y" $E5AB
"BITB s,S" $E560
"BITB s,U" $E540
"BITB s,X" $E500
"BITB s,Y" $E520
"BITB x" $D5
"BITB x,PCR" $E58C
"BITB x,S" $E5E8
"BITB x,U" $E5C8
"BITB x,X" $E588
"BITB x,Y" $E5A8
"BITB,--S" $E5E3
"BITB,--U" $E5C3
"BITB,--X" $E583
"BITB,--Y" $E5A3
"BITB,-S" $E5E2
"BITB,-U" $E5C2
"BITB,-X" $E582
"BITB,-Y" $E5A2
"BITB,S" $E5E4
